trialunique,ACTIVE_rating,ALERT_rating,ANGRY_rating,ANXIOUS_rating,ASHAMED_rating,EXCITED_rating,FRUSTRATED_rating,GUILTY_rating,HAPPY_rating,SAD_rating,SCARED_rating,TENDER_rating,ACTIVE_RT,ALERT_RT,ANGRY_RT,ANXIOUS_RT,ASHAMED_RT,EXCITED_RT,FRUSTRATED_RT,GUILTY_RT,HAPPY_RT,SAD_RT,SCARED_RT,TENDER_RT,id,songmark,affectcat,targetemotion,valence,arousal,valencekey.keys,valencekey.rt,arousalkey.keys,likekey.keys,likekey.rt,prac,depression,EOT,DDF,DIF,TAS,gender_recoded,musichours,yearsplay
1_14_1,3,3,1,3,1,4,1,2,3,2,1,2,1.6849987730001885,2.0182339679995493,1.1520407070001966,1.318958861000283,1.8684189280002101,2.4346418390005056,1.0516381859997637,1.5186720250003418,1.751817659000153,1.8009299479999754,2.001794355999664,1.0668795020001198,1,14,Low Arousal/Positve Valence,Tender,Positive,Low,3,2.1514642949996414,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_14_2,1,1,1,3,2,1,1,3,3,3,1,3,0.9500441460004367,1.1516132630003995,0.8839107800013153,1.0663348399993993,1.116871643000195,1.2355614839998452,0.9023543519997475,1.434756793998531,1.5507246130000567,1.1359208640005818,1.5347192080007517,0.9522484539993457,1,14,Low Arousal/Positve Valence,Tender,Positive,Low,4,1.3344907339997008,1,NA,NA,trial,3,16,15,15,46,male,1,5+
1_15_1,2,1,1,1,1,3,1,1,5,2,1,2,1.5714763930000117,1.4865555579999636,1.2866745880000963,1.6851101250003921,1.385692389999349,3.235314560999541,1.400061175000701,1.8684404040004665,1.2181033420001768,1.3349631150003916,1.453081912000016,3.4514451489994826,1,15,Low Arousal/Positve Valence,Tender,Positive,Low,4,1.5339486069997292,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_15_2,1,1,1,1,1,2,1,2,5,2,1,3,2.201810927000224,1.585499689000244,0.9350900429999456,1.131808885999817,0.7685392089997549,2.0348641230002613,1.0012150069997006,2.1016843220004375,0.9499478960005945,1.469121524000002,1.0845391450002353,1.1685340060003,1,15,Low Arousal/Positve Valence,Tender,Positive,Low,5,1.468168541000523,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_16_1,2,1,1,3,4,2,1,4,3,4,1,5,3.0005095529995742,3.918296129000737,1.2516133970002556,3.4676764859996183,2.2735172990005594,3.041032744000404,1.5687054169993644,2.5211440869998114,3.57236826999997,4.233976452999741,1.8224373489993013,1.1189669140003389,1,16,Low Arousal/Positve Valence,Tender,Positive,Low,2,8.076646464000078,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_16_2,5,1,1,1,1,5,1,1,5,1,1,3,0.7015038070003357,1.6686706390000836,2.286327406000055,1.9843453339999542,1.1366356239996094,1.4001958519993423,0.9177416980000999,2.15211885699955,1.1165463480001563,1.4319678960000601,1.6023605579994182,1.0173570970000583,1,16,Low Arousal/Positve Valence,Tender,Positive,Low,5,1.835236590999557,5,NA,NA,trial,3,16,15,15,46,male,1,5+
1_2_1,3,5,1,5,2,2,1,3,1,3,5,1,1.3496638819997315,0.9524793679993309,1.6345043340006669,1.3017025939998348,1.552597419000449,1.3852128539992918,1.352957217999574,3.201517280999724,1.5685258960002102,2.1514011300005222,1.051520468999115,1.056853575999412,1,2,High Arousal/Negative Valence,Fear,Negative,high,1,1.3003122159998384,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_2_2,3,4,1,5,1,3,1,4,1,2,5,2,1.0192440089995216,1.3014947720002965,0.8511417410009017,1.1857775890002813,1.0522018589999789,0.8850498980009434,1.001286655999138,0.8849944510002388,0.8333554949986137,1.1009776219998457,0.8697932209997816,1.2738722230005806,1,2,High Arousal/Negative Valence,Fear,Negative,high,1,1.1022192109994648,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_3_1,3,3,1,3,1,3,1,2,2,1,3,1,3.635858501000257,1.7023091920000297,1.76862134699968,1.4845626309997897,2.4845780679997915,1.934877214000153,1.967685585000254,1.4346908439993058,5.201202164000279,1.9354984390001846,2.9180680619992927,3.4025036210005055,1,3,High Arousal/Negative Valence,Fear,Negative,high,2,4.317506695000702,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_3_2,3,4,1,4,2,2,2,4,1,2,4,2,1.4019552019999537,0.8502783949998047,2.0347141840002223,1.2513934859998699,1.1350321740001164,1.4514805399994657,1.4190714389997083,1.7179816890002257,1.534386242000437,2.135806999000124,1.1682033619999856,1.3683834459998252,1,3,High Arousal/Negative Valence,Fear,Negative,high,1,1.8230719170005614,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_4_1,4,4,1,5,1,4,1,3,1,1,3,3,1.168181302999983,4.384645275999901,2.0673436000006404,1.1684352150004997,0.9848159709999891,2.6997705519997908,1.2518237779995616,2.001835879000282,1.3677223889999368,1.2179612059999272,1.1518901049994383,2.006373810999321,1,4,High Arousal/Negative Valence,Fear,Negative,high,2,1.8846788370001377,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_4_2,4,4,2,5,3,1,1,2,1,3,4,2,3.468436661999476,1.7681105080000634,3.252094538000165,1.2010178059999816,1.252398159999757,1.4025591489998988,1.3013366920004046,1.9018780989999868,1.7684381090002717,1.8064398369997434,1.1522667720000754,1.3353685299998688,1,4,High Arousal/Negative Valence,Fear,Negative,high,2,1.484524755000166,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_5_1,4,2,1,1,1,5,1,1,5,1,1,2,1.7692027429993686,2.8026795100004165,1.0022811580001871,3.0009585090001565,1.8679195349996007,1.152095043999907,1.651941369999804,1.3337370629997167,1.6512634860000617,1.60146883500056,0.9350907799998822,2.919798488000197,1,5,High Arousal/Positive Valence,Happy,Positive,high,5,1.7187588670003606,5,NA,NA,trial,3,16,15,15,46,male,1,5+
1_5_2,4,4,1,1,1,4,1,1,5,1,1,1,0.9191103560006013,0.9031071940007678,0.9508379139988392,0.9193809680000413,0.851433060999625,1.217722285000491,1.3685500040010083,0.8842852249999851,0.9838641579990508,1.0681690110013733,0.8691466459986259,0.9179538330008654,1,5,High Arousal/Positive Valence,Happy,Positive,high,5,1.2843715219987644,5,NA,NA,trial,3,16,15,15,46,male,1,5+
1_6_1,2,2,1,2,3,2,1,1,3,2,1,1,1.234906366999894,1.388453477999974,1.7230442210002366,1.3701674209996781,1.3181854340000427,1.0532247740002276,1.1562016019997827,1.3868281340000976,0.9360540500001662,1.2022927380003239,1.4698022859993216,1.2519287400000394,1,6,High Arousal/Positive Valence,Happy,Positive,high,3,1.4686603600002854,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_6_2,2,2,1,3,1,2,1,2,2,2,1,2,1.9019540669996786,1.4507306069999686,1.15196619299968,1.5011104300001534,2.768608790000144,1.6849285150001378,1.785724203999962,1.3019263989999672,2.000630330999229,1.585362907999297,1.4025138819997665,1.6018044130005364,1,6,High Arousal/Positive Valence,Happy,Positive,high,3,3.900887099999636,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_7_1,4,4,1,2,1,3,2,1,3,1,1,1,1.101444119000007,1.3676038929997958,1.8021959759998936,1.4032273209995765,1.5514602650000597,1.651749050000035,1.6677630789999967,1.7016710039997633,1.551598895999632,2.1855734750006377,1.46667738799988,1.1343235960002858,1,7,High Arousal/Positive Valence,Happy,Positive,high,4,2.383217211999181,4,NA,NA,trial,3,16,15,15,46,male,1,5+
